Date, Open, High, Low, Close
02/25/21, 5824.72, 5834.36, 5783.89, 5783.89
02/24/21, 5769.21, 5804.14, 5758.30, 5797.98
02/23/21, 5781.24, 5804.90, 5721.92, 5779.84
02/22/21, 5737.47, 5776.64, 5703.48, 5767.44
02/19/21, 5737.19, 5784.90, 5733.84, 5773.55
02/18/21, 5757.75, 5779.01, 5720.58, 5728.33
02/17/21, 5762.01, 5790.27, 5752.85, 5765.84
02/16/21, 5796.43, 5797.92, 5768.96, 5786.53
02/15/21, 5732.30, 5801.38, 5722.16, 5786.25
02/12/21, 5651.67, 5705.02, 5627.99, 5703.67
02/11/21, 5684.94, 5692.00, 5656.80, 5669.82
02/10/21, 5719.32, 5719.32, 5647.28, 5670.80
02/09/21, 5703.53, 5703.53, 5674.43, 5691.54
02/08/21, 5688.68, 5714.28, 5673.63, 5686.03
02/05/21, 5638.74, 5673.03, 5627.84, 5659.26
02/04/21, 5568.39, 5613.95, 5566.58, 5608.54
02/03/21, 5610.59, 5626.41, 5554.09, 5563.05
02/02/21, 5510.62, 5574.77, 5509.24, 5563.11
02/01/21, 5441.43, 5481.67, 5429.78, 5461.68
01/29/21, 5421.53, 5474.80, 5399.21, 5399.21
01/28/21, 5407.74, 5525.95, 5379.22, 5510.52
01/27/21, 5517.53, 5545.45, 5401.43, 5459.62
01/26/21, 5473.25, 5555.28, 5471.09, 5523.52
01/25/21, 5579.73, 5584.40, 5453.24, 5472.36
01/22/21, 5568.88, 5573.71, 5511.44, 5559.57
01/21/21, 5660.27, 5665.98, 5589.80, 5590.79
01/20/21, 5615.41, 5646.06, 5602.49, 5628.44
01/19/21, 5647.75, 5655.22, 5592.20, 5598.61
01/18/21, 5584.85, 5618.42, 5584.59, 5617.27
01/15/21, 5648.70, 5656.45, 5563.74, 5611.69
01/14/21, 5662.17, 5690.49, 5656.75, 5681.14
01/13/21, 5648.96, 5679.07, 5643.75, 5662.67
01/12/21, 5672.20, 5679.06, 5636.75, 5650.97
01/11/21, 5684.66, 5704.09, 5629.46, 5662.43
01/08/21, 5711.58, 5721.89, 5676.15, 5706.88
01/07/21, 5651.04, 5689.28, 5629.49, 5669.85
01/06/21, 5601.01, 5648.42, 5553.39, 5630.60
01/05/21, 5561.60, 5603.66, 5530.48, 5564.60
01/04/21, 5614.04, 5656.42, 5567.97, 5588.96
12/31/20, 5573.20, 5598.93, 5551.41, 5551.41
12/30/20, 5603.72, 5625.60, 5594.11, 5599.41
12/29/20, 5610.13, 5625.52, 5603.74, 5611.79
12/28/20, 5562.04, 5601.00, 5547.90, 5588.38
12/24/20, 5542.49, 5545.71, 5517.01, 5522.01
12/23/20, 5472.14, 5539.16, 5472.03, 5527.59
12/22/20, 5411.15, 5477.87, 5411.15, 5466.86
12/21/20, 5392.55, 5422.10, 5306.58, 5393.34
12/18/20, 5533.78, 5581.96, 5519.17, 5527.84
12/17/20, 5578.79, 5585.51, 5547.59, 5549.46
12/16/20, 5551.45, 5589.76, 5515.50, 5547.68
12/15/20, 5521.79, 5565.52, 5517.06, 5530.31
12/14/20, 5547.30, 5577.18, 5527.84, 5527.84
12/11/20, 5528.14, 5532.81, 5466.56, 5507.55
12/10/20, 5558.96, 5572.80, 5511.48, 5549.65
12/09/20, 5590.19, 5599.41, 5545.94, 5546.82
12/08/20, 5553.79, 5574.57, 5521.87, 5560.67
12/07/20, 5594.50, 5595.83, 5535.42, 5573.38
12/04/20, 5574.12, 5616.62, 5574.12, 5609.15
12/03/20, 5581.53, 5584.10, 5546.29, 5574.36
12/02/20, 5563.05, 5585.87, 5549.79, 5583.01
12/01/20, 5542.46, 5589.68, 5529.25, 5581.64
11/30/20, 5564.16, 5599.94, 5518.55, 5518.55
11/27/20, 5563.04, 5612.76, 5556.62, 5598.18
11/26/20, 5589.38, 5592.78, 5559.72, 5566.79
11/25/20, 5577.97, 5589.78, 5545.01, 5571.29
11/24/20, 5546.07, 5574.69, 5536.11, 5558.42
11/23/20, 5543.83, 5555.83, 5492.15, 5492.15
11/20/20, 5463.99, 5524.25, 5461.39, 5495.89
11/19/20, 5458.02, 5490.18, 5449.45, 5474.66
11/18/20, 5468.17, 5521.01, 5452.12, 5511.45
11/17/20, 5468.29, 5487.31, 5441.26, 5483.00
11/16/20, 5430.57, 5518.91, 5402.31, 5471.48
11/13/20, 5343.32, 5411.12, 5343.25, 5380.16
11/12/20, 5394.37, 5421.40, 5348.63, 5362.57
11/11/20, 5433.66, 5462.95, 5408.67, 5445.21
11/10/20, 5351.31, 5439.08, 5327.22, 5418.97
11/09/20, 5036.92, 5387.49, 5021.33, 5336.32
11/06/20, 4964.26, 4997.74, 4915.24, 4960.88
11/05/20, 4956.02, 4998.19, 4942.18, 4983.99
11/04/20, 4736.46, 4926.56, 4730.31, 4922.85
11/03/20, 4743.86, 4812.29, 4730.23, 4805.61
11/02/20, 4614.95, 4705.11, 4581.86, 4691.14
10/30/20, 4519.37, 4601.74, 4519.37, 4594.24
10/29/20, 4571.13, 4606.72, 4512.57, 4569.67
10/28/20, 4635.19, 4640.63, 4521.61, 4571.12
10/27/20, 4818.98, 4818.98, 4723.70, 4730.66
10/26/20, 4844.64, 4896.47, 4814.99, 4816.12
10/23/20, 4843.28, 4934.71, 4843.14, 4909.64
10/22/20, 4830.44, 4873.90, 4783.65, 4851.38
10/21/20, 4945.33, 4945.33, 4849.01, 4853.95
10/20/20, 4932.87, 4968.61, 4914.49, 4929.28
10/19/20, 4955.39, 4993.39, 4881.46, 4929.27
10/16/20, 4904.10, 4957.60, 4875.76, 4935.86
10/15/20, 4873.03, 4881.31, 4808.58, 4837.42
10/14/20, 4956.69, 4965.32, 4928.43, 4941.66
10/13/20, 4976.28, 4976.58, 4928.64, 4947.61
10/12/20, 4952.47, 4998.51, 4944.00, 4979.29
10/09/20, 4925.41, 4954.02, 4918.06, 4946.81
10/08/20, 4910.49, 4936.04, 4877.10, 4911.94
10/07/20, 4888.49, 4915.63, 4865.26, 4882.00
10/06/20, 4881.80, 4925.71, 4850.36, 4895.46
10/05/20, 4863.63, 4876.86, 4842.26, 4871.87
